,Marca,Modelo,Tamaño de la pantalla,Tipo de resolución,Tipo de pantalla,Frecuencia de actualización,Precio,Link
52,LG,27MK400H,"27 """,FHD,LED,60 Hz,113199,https://articulo.mercadolibre.com.ar/MLA-1406418890-monitor-gamer-lg-27mk400h-led-27-_JM?searchVariation=177944626863#searchVariation=177944626863&position=31&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
53,Philips,241V8L/77,"24 """,FHD,LCD,75 Hz,67999,https://articulo.mercadolibre.com.ar/MLA-1369195387-monitor-philips-led-24-pulgadas-241v8l77-hdmi-vga-gtiaof-_JM?searchVariation=178137586991#searchVariation=178137586991&position=32&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
54,Philips,193V5LHSB2,"18.5 """,WXGA,LCD,60 Hz,50800,https://articulo.mercadolibre.com.ar/MLA-1315761398-monitor-led-19-pulgadas-philips-hd-193v5lhsb2-hdmi-full-vga-_JM?searchVariation=176381637520#searchVariation=176381637520&position=33&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
56,LG,29WQ600-WO.AWNEDSN,"29 """,Ultrawide FHD,LCD,100 Hz,187999,https://articulo.mercadolibre.com.ar/MLA-1438313694-monitor-led-29-lg-full-hd-ultrawide-75hz-5ms-29wq600b-wfhd-1-_JM#position=35&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
58,Asus,VG278QR,"27 """,FHD,LED,165 Hz,287699,https://articulo.mercadolibre.com.ar/MLA-875509703-monitor-asus-gaming-vg278qr-27in-165hz-hdmi-gtia-oficial-6c-_JM?searchVariation=62799026118#searchVariation=62799026118&position=36&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
59,LG,24MK430H,"23.8 """,FHD,LED,60 Hz,71499,https://articulo.mercadolibre.com.ar/MLA-734093068-monitor-led-24-lg-led-24mk430-ips-vga-hdmi-gtia-3-anos-_JM?searchVariation=52462692127#searchVariation=52462692127&position=37&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
60,BenQ,GW2283,"21.5 """,FHD,LED,60 Hz,131668,https://www.mercadolibre.com.ar/monitor-gamer-benq-estilizados-gw2283-led-215-negro-100v240v/p/MLA16522097?pdp_filters=category:MLA14407#searchVariation=MLA16522097&position=2&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
62,ViewSonic,VX3218-PC-MHD,"32 """,FHD,LED,165 Hz,264999,https://www.mercadolibre.com.ar/monitor-viewsonic-led-32-vx3218-pc-mhd-negro-100v240v/p/MLA19798870?pdp_filters=category:MLA14407#searchVariation=MLA19798870&position=3&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
64,HDC,HM-27WQ144,"27 """,QHD,LCD TFT,144 Hz,273755,https://www.mercadolibre.com.ar/monitor-gamer-hdc-hm-27wq144-lcd-tft-27-negro-y-plata-220v/p/MLA19489260?pdp_filters=category:MLA14407#searchVariation=MLA19489260&position=5&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
65,Samsung,RG50,"24 """,FHD,LED,144 Hz,181549,https://articulo.mercadolibre.com.ar/MLA-1154247780-monitor-samsung-24-rg50-curve-144hz-gamer-fhd-169-hdmi-_JM?searchVariation=175058073525#searchVariation=175058073525&position=39&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
66,Samsung,LS32BM500,"32 """,FHD,LED VA,60 Hz,178690,https://www.mercadolibre.com.ar/monitor-samsung-smart-m5-ls32bm500-32-fhd-wifi-bluetooth/p/MLA23008327?pdp_filters=category:MLA14407#searchVariation=MLA23008327&position=6&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
67,Acer,V206HQL Abi,"19.5 """,HD+,LCD,60 Hz,83934,https://www.mercadolibre.com.ar/acer-v6-v206hql-abi-195-negro-100v240v/p/MLA18616943?pdp_filters=category:MLA14407#searchVariation=MLA18616943&position=7&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
70,Samsung,F24T35,"24 """,FHD,LED,75 Hz,79600,https://articulo.mercadolibre.com.ar/MLA-916929832-monitor-samsung-24-t350-led-gamer-75hz-ips-full-hd-_JM?searchVariation=82254393021#searchVariation=82254393021&position=40&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
72,Noblex,MK24X7100,"23.8 """,FHD,LED,75 Hz,88990,https://www.mercadolibre.com.ar/monitor-led-noblex-mk24x7100-238-full-hd-panel-va-antiglare-negro-220v/p/MLA19374030?pdp_filters=category:MLA14407#searchVariation=MLA19374030&position=10&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
73,HP,P22va G4,"21.5 """,FHD,LED,60 Hz,65999,https://www.mercadolibre.com.ar/monitor-hp-p-p22va-g4-led-215-negro-fhd-acuario/p/MLA21265653?pdp_filters=category:MLA14407#searchVariation=MLA21265653&position=11&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
74,Philips,241V8L/77,"24 """,FHD,LCD,75 Hz,63629,https://articulo.mercadolibre.com.ar/MLA-1398603506-monitor-led-24-philips-241v8l77-hdmi-vga-_JM?searchVariation=177459385318#searchVariation=177459385318&position=42&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
76,BenQ,GW2283,"21.5 """,FHD,LED,60 Hz,111999,https://articulo.mercadolibre.com.ar/MLA-1349070374-monitor-benq-ips-215-full-hd-1920x1080-parlante-2-hdmi-_JM?searchVariation=176683522198#searchVariation=176683522198&position=43&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
77,Acer,V206HQL,"19.5 """,HD+,LED,60 Hz,52579,https://www.mercadolibre.com.ar/monitor-acer-v6-v206hql-umiv6aaa02-led-195-negro-100v240v/p/MLA15118139?pdp_filters=category:MLA14407#searchVariation=MLA15118139&position=13&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
81,LG,27MK400H-B,"27 """,FHD,LED,60 Hz,98958,https://articulo.mercadolibre.com.ar/MLA-868798031-monitor-lg-27-27mk400h-b-hdmi-led-_JM?searchVariation=60236716116#searchVariation=60236716116&position=45&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
82,Dell,P2222H,"22 """,FHD,LED,60 Hz,239999,https://www.mercadolibre.com.ar/monitor-dell-p2222h-22-fullhd-hdmi-vga-dp-rotacion-newtek/p/MLA21728521?pdp_filters=category:MLA14407#searchVariation=MLA21728521&position=16&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
84,Gadnic,G4D41N-F,"23.8 """,FHD,LED,75 Hz,146149,https://www.mercadolibre.com.ar/monitor-gamer-gadnic-g4d41n-f-led-238-negro-100v240v/p/MLA18634290?pdp_filters=category:MLA14407#searchVariation=MLA18634290&position=18&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
85,Samsung,FLAT M7,"32 """,UHD 4K,LED,60 Hz,362870,https://www.mercadolibre.com.ar/monitor-smart-samsung-flat-m7-32-4k-4-ms-hdmi-usb-tizon/p/MLA22295676?pdp_filters=category:MLA14407#searchVariation=MLA22295676&position=19&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
86,Samsung,S28AG70,"28 """,UHD 4K,LCD,144 Hz,715320,https://www.mercadolibre.com.ar/monitor-gamer-samsung-odyssey-g7-s28ag70-lcd-28-negro-100v240v/p/MLA19120195?pdp_filters=category:MLA14407#searchVariation=MLA19120195&position=20&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
87,LG,24MK430H,"23.8 """,FHD,LED,60 Hz,85699,https://articulo.mercadolibre.com.ar/MLA-1406418894-monitor-gamer-lg-24mk430h-led-238-_JM?searchVariation=177940962773#searchVariation=177940962773&position=46&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
88,Samsung,G5 Odyssey,"32 """,FHD,LED,165 Hz,316999,https://www.mercadolibre.com.ar/monitor-curvo-samsung-32-g5-odyssey-gamer-negro/p/MLA19470769?pdp_filters=category:MLA14407#searchVariation=MLA19470769&position=21&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
89,Ozone,DSP25PRO,"24 """,FHD,LED,144 Hz,182730,https://www.mercadolibre.com.ar/monitor-gamer-ozone-144hz-245-dsp25-pro-1ms-freesync-gsync/p/MLA20024969?pdp_filters=category:MLA14407#searchVariation=MLA20024969&position=22&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
92,Level Up,27-UP6680,"27 """,FHD,LED,165 Hz,149999,https://www.mercadolibre.com.ar/level-up-27-up6680-27-negro-220v/p/MLA19882851?pdp_filters=category:MLA14407#searchVariation=MLA19882851&position=24&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
94,Asus,PG259QNR,"24.5 """,FHD,LED,360 Hz,479000,https://www.mercadolibre.com.ar/monitor-gamer-asus-rog-swift-pg259qnr-led-245-negro-100v240v/p/MLA18618094?pdp_filters=category:MLA14407#searchVariation=MLA18618094&position=25&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
95,Asus,MB168B,"15.6 """,HD,LED,60 Hz,199999,https://www.mercadolibre.com.ar/monitor-asus-mb168b-led-156-dark-gray-100v240v/p/MLA17812092?pdp_filters=category:MLA14407#searchVariation=MLA17812092&position=26&search_layout=grid&type=product&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
96,LG,22MK600M,"21.5 """,FHD,LED,75 Hz,87600,https://www.mercadolibre.com.ar/monitor-gamer-lg-22mk600m-led-215-negro-100v240v/p/MLA16550872?pdp_filters=category:MLA14407#searchVariation=MLA16550872&position=1&search_layout=grid&type=product&tracking_id=a3f4dea3-0bb8-475e-af40-b8645b44807c
97,AOC,AG275QXL,"27 """,QHD,LED,170 Hz,512340,https://www.mercadolibre.com.ar/monitor-gamer-aoc-agon-pro-lol-ag275qxl-27/p/MLA20692788?pdp_filters=category:MLA14407#searchVariation=MLA20692788&position=2&search_layout=grid&type=product&tracking_id=a3f4dea3-0bb8-475e-af40-b8645b44807c
98,Samsung,S32BM500,"32 """,FHD,LED,60 Hz,221299,https://www.mercadolibre.com.ar/monitor-samsung-m5-32-inteligente-smart-tv-hdr10-ls32bm500/p/MLA19928422?pdp_filters=category:MLA14407#searchVariation=MLA19928422&position=3&search_layout=grid&type=product&tracking_id=a3f4dea3-0bb8-475e-af40-b8645b44807c
99,LG,49WL95C,"49 """,QHD,LED,60 Hz,967999,https://www.mercadolibre.com.ar/monitor-gamer-curvo-lg-49wl95c-led-49-blanco-100v240v/p/MLA17380314?pdp_filters=category:MLA14407#searchVariation=MLA17380314&position=4&search_layout=grid&type=product&tracking_id=a3f4dea3-0bb8-475e-af40-b8645b44807c
100,Samsung,F24T35,"24 """,FHD,LED,75 Hz,108799,https://articulo.mercadolibre.com.ar/MLA-1111538993-monitor-led-24-samsung-f24t35-ips-amd-freesync-75hz-vga-hdmi-_JM?searchVariation=173891182872#searchVariation=173891182872&position=26&search_layout=grid&type=item&tracking_id=a3f4dea3-0bb8-475e-af40-b8645b44807c
101,BenQ,EL2870U,"27.9 """,UHD 4K,LED,60 Hz,359999,https://www.mercadolibre.com.ar/monitor-gamer-benq-el2870u-led-279-gris-metalizado-100v240v/p/MLA19068668?pdp_filters=category:MLA14407#searchVariation=MLA19068668&position=5&search_layout=grid&type=product&tracking_id=a3f4dea3-0bb8-475e-af40-b8645b44807c
